Frequency,Current
56700,0.000587185
56800,0.000583924
56900,0.000580702
57000,0.000577519
57100,0.000574375
57200,0.000571268
57300,0.000568198
57400,0.000565164
57500,0.000562165
57600,0.000559202
57700,0.000556273
57800,0.000553377
57900,0.000550515
58000,0.000547685
58100,0.000544887
58200,0.000542121
58300,0.000539385
58400,0.00053668
58500,0.000534005
58600,0.000531359
58700,0.000528742
58800,0.000526153
58900,0.000523592
59000,0.000521059
59100,0.000518553
59200,0.000516073
59300,0.00051362
59400,0.000511192
59500,0.00050879
59600,0.000506412
59700,0.000504059
59800,0.00050173
59900,0.000499425
60000,0.000497144
